SerialNO,model,error type,blockaddress,count
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,47136768,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,51208192,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,80551936,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,91971584,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,31326208,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,55746560,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,53968896,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,60022784,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,23486464,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,40853504,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,37675008,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,20070400,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,14630912,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,7675904,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,26574848,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,96182272,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,116531200,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,99164160,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,77643776,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,59736064,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,69066752,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,61153280,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,59932672,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,59711488,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,61480960,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,111108096,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,110329856,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,48185344,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,47341568,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,3055616,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,15024128,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,4497408,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,55500800,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,47071232,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,113442816,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,51232768,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,81190912,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,93077504,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,47185920,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,42483712,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,2326528,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,13983744,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,16441344,1
